,index,GA_EventID,DATESTR,DATENUM,TYPE,DEPENDENCE,LON,LAT,DEP,LOCSRC,PREFMW,PREFMWSRC,PREFMS,PREFMSSRC,PREFmb,PREFmbSRC,PREFML,PREFMLSRC,MLREGION,REVML,MX_ORIGML,MX_TYPE,MX_REVML,MX_REVMLTYPE,MX_REVMLSRC,MS2MW,mb2MW,ML2MW,PREFMW.1,PREFMWSRC.1,COMM,MLa_net,MLa01_net,MLa05_net,MLa075_net,MLa_nob,MLa01_nob,MLa05_nob,MLa075_nob,Region,MLa_dmn,MLa_dmx,MLa05_dmn,MLa05_dmx,MLa075_dmn,MLa075_dmx,MLa01_dmn,MLa01_dmx,Catalogue,Event Type,AntelopeID,AntelopeML,SeiscompML
4303,10.0,,1850-09-24 00:00:00,675966.0,local,1.0,149.0,-35.0,,GG,,,,,,,4.0,GG,SEA,3.71,4.0,MP,3.71,REV_ML,REV_ML,,,3.75,3.75,ML2MW,Yass; NSW,,,,,,,,,,,,,,,,,,NSHA18,,,,
4304,11.0,ga1852jvyvfs,1852-05-19 10:30:00,676569.4375,local,1.0,138.517,-35.15,7.0,ADE,,,,,,,2.7,ADE,SA,2.62,2.7,MP,2.62,REV_ML,REV_ML,,,2.94,2.94,ML2MW,Morphett Vale; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4305,12.0,ga1853sfalhp,1853-09-15 16:30:00,677053.6875,local,1.0,138.11,-32.85,11.0,ADE,,,,,,,4.5,ADE,SA,4.13,4.5,MP,4.13,REV_ML,REV_ML,,,4.09,4.09,ML2MW,Mt Remarkable; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4306,13.0,ga1855dlupsr,1855-02-18 22:00:00,677574.9167,local,2.0,138.95,-34.35,7.0,ADE,,,,,,,3.8,ADE,SA,3.55,3.8,MP,3.55,REV_ML,REV_ML,,,3.62,3.62,ML2MW,Kapunda; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4307,14.0,ga1855duthag,1855-02-23 19:00:00,677579.7917,local,0.0,138.95,-34.35,7.0,ADE,,,,,,,3.1,ADE,SA,2.96,3.1,MP,2.96,REV_ML,REV_ML,,,3.18,3.18,ML2MW,Kapunda; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4308,15.0,,1855-09-16 17:12:00,677784.7167,local,1.0,144.8,-38.7,10.0,GG,,,,,,,5.5,GG,SEA,4.97,5.5,MP,4.97,REV_ML,REV_ML,,,4.82,4.82,ML2MW,Bass Strait,,,,,,,,,,,,,,,,,,NSHA18,,,,
4309,16.0,ga1856mknoji,1856-06-24 16:50:00,678066.7014,local,1.0,138.7,-34.65,7.0,ADE,,,,,,,4.4,ADE,SA,4.05,4.4,MP,4.05,REV_ML,REV_ML,,,4.02,4.02,ML2MW,Gawler; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4310,17.0,ga1857igaten,1857-04-27 14:20:00,678373.5972,local,1.0,138.18,-35.833,7.0,ADE,,,,,,,3.3,ADE,SA,3.13,3.3,MP,3.13,REV_ML,REV_ML,,,3.3,3.3,ML2MW,Cape Willoughby; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4311,18.0,ga1858qkvvkl,1858-08-21 12:45:00,678854.5313,local,2.0,139.0,-34.567,8.0,ADE,,,,,,,3.7,ADE,SA,3.46,3.7,MP,3.46,REV_ML,REV_ML,,,3.56,3.56,ML2MW,Tanunda; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4312,19.0,ga1858qlftxx,1858-08-21 17:45:00,678854.7396,local,0.0,139.0,-34.567,8.0,ADE,,,,,,,3.2,ADE,SA,3.04,3.2,MP,3.04,REV_ML,REV_ML,,,3.24,3.24,ML2MW,Tanunda; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4313,20.0,ga1858qmlcgk,1858-08-22 09:30:00,678855.3958,local,0.0,139.0,-34.567,8.0,ADE,,,,,,,3.2,ADE,SA,3.04,3.2,MP,3.04,REV_ML,REV_ML,,,3.24,3.24,ML2MW,Tanunda; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4314,21.0,ga1858qoqtqs,1858-08-23 14:30:00,678856.6042,local,0.0,139.0,-34.567,8.0,ADE,,,,,,,2.7,ADE,SA,2.62,2.7,MP,2.62,REV_ML,REV_ML,,,2.94,2.94,ML2MW,Tanunda; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4315,22.0,ga1859lmaobl,1859-06-12 08:30:00,679149.3542,local,1.0,140.783,-37.833,9.0,ADE,,,,,,,3.9,ADE,SEA,3.63,3.9,MP,3.63,REV_ML,REV_ML,,,3.69,3.69,ML2MW,Mt Gambier; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4316,23.0,ga1859wyesxk,1859-11-21 18:50:00,679311.7847,local,1.0,145.2,-40.7,10.0,Leiba,,,,,,,5.4,Leiba,SEA,4.89,5.4,MP,4.89,REV_ML,REV_ML,,,4.74,4.74,ML2MW,Circular Head; Tas,,,,,,,,,,,,,,,,,,NSHA18,,,,
4317,24.0,ga1862yooowi,1862-12-14 20:55:00,680430.8715,local,1.0,138.7,-34.067,8.0,ADE,,,,,,,4.2,ADE,SA,3.88,4.2,MP,3.88,REV_ML,REV_ML,,,3.89,3.89,ML2MW,Auburn; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4318,25.0,ga1866qqjabc,1866-08-24 12:45:00,681779.5313,local,1.0,138.867,-34.883,7.0,ADE,,,,,,,4.1,ADE,SA,3.8,4.1,MP,3.8,REV_ML,REV_ML,,,3.82,3.82,ML2MW,Gumeracha; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4319,26.0,ga1866xsmsdo,1866-12-02 20:20:00,681879.8472,local,1.0,139.133,-33.367,8.0,ADE,,,,,,,3.3,ADE,SA,3.13,3.3,MP,3.13,REV_ML,REV_ML,,,3.3,3.3,ML2MW,Ketchowla; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4320,27.0,,1868-06-18 13:58:00,682443.5819,local,1.0,151.6,-32.8,10.0,KMcC,,,,,,,5.3,KMcC,SEA,4.81,5.3,MP,4.81,REV_ML,REV_ML,,,4.67,4.67,ML2MW,Maitland; NSW,,,,,,,,,,,,,,,,,,NSHA18,,,,
4321,28.0,ga1868vgvauu,1868-10-28 03:45:00,682575.1563,local,2.0,138.7,-33.58,7.0,ADE,,,,,,,4.3,ADE,SA,3.97,4.3,MP,3.97,REV_ML,REV_ML,,,3.96,3.96,ML2MW,Clare Valley; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4322,29.0,ga1868viavez,1868-10-28 19:44:00,682575.8222,local,0.0,138.7,-33.58,7.0,ADE,,,,,,,3.5,ADE,SA,3.29,3.5,MP,3.29,REV_ML,REV_ML,,,3.43,3.43,ML2MW,Clare Valley; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4323,30.0,ga1868volsvl,1868-11-01 07:40:00,682579.3194,local,0.0,138.7,-33.58,7.0,ADE,,,,,,,2.7,ADE,SA,2.62,2.7,MP,2.62,REV_ML,REV_ML,,,2.94,2.94,ML2MW,Clare Valley; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4324,31.0,ga1869qzzszg,1869-08-29 18:50:00,682880.7847,local,2.0,147.0,-37.0,10.0,Underwood,,,,,,,5.0,Underwood,SEA,4.55,5.0,MP,4.55,REV_ML,REV_ML,,,4.45,4.45,ML2MW,Eastern Highlands; Vic,,,,,,,,,,,,,,,,,,NSHA18,,,,
4325,32.0,,1869-08-30 10:35:00,682881.441,local,0.0,147.0,-37.0,10.0,Underwood,,,,,,,4.0,Underwood,SEA,3.71,4.0,MP,3.71,REV_ML,REV_ML,,,3.75,3.75,ML2MW,Eastern Highlands; Vic,,,,,,,,,,,,,,,,,,NSHA18,,,,
4326,33.0,ga1871asyrnb,1871-01-11 07:45:00,683380.3229,local,1.0,138.833,-33.783,10.0,ADE,,,,,,,3.9,ADE,SA,3.63,3.9,MP,3.63,REV_ML,REV_ML,,,3.69,3.69,ML2MW,Burra; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4327,34.0,ga1871avcrvd,1871-01-12 11:55:00,683381.4965,local,1.0,139.0,-32.667,11.0,ADE,,,,,,,3.4,ADE,SA,3.21,3.4,MP,3.21,REV_ML,REV_ML,,,3.37,3.37,ML2MW,Beautiful Valley; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4328,35.0,,1871-06-08 04:10:00,683528.1736,local,1.0,148.1,-35.3,10.0,Spennemann,,,,,,,5.3,Spennemann,SEA,4.81,5.3,ML,4.81,REV_ML,REV_ML,,,4.67,4.67,ML2MW,Tumut; NSW,,,,,,,,,,,,,,,,,,NSHA18,,,,
4329,36.0,,1872-01-03 12:15:00,683737.5104,local,1.0,148.1,-35.5,10.0,Spennemann,,,,,,,4.9,Spennemann,SEA,4.47,4.9,ML,4.47,REV_ML,REV_ML,,,4.37,4.37,ML2MW,Tumut; NSW,,,,,,,,,,,,,,,,,,NSHA18,,,,
4330,37.0,ga1872cchgdn,1872-01-30 13:40:00,683764.5694,local,1.0,138.883,-34.067,9.0,ADE,,,,,,,4.8,ADE,SA,4.39,4.8,MP,4.39,REV_ML,REV_ML,,,4.3,4.3,ML2MW,Riverton; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4331,38.0,ga1872lgprtd,1872-06-08 09:40:00,683894.4028,local,1.0,138.95,-33.95,7.0,ADE,,,,,,,4.1,ADE,SA,3.8,4.1,MP,3.8,REV_ML,REV_ML,,,3.82,3.82,ML2MW,S of Burra; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4332,39.0,,1872-08-07 19:10:00,683954.7986,local,1.0,144.0,-37.0,,KMcC,,,,,,,3.0,KMcC,SEA,2.87,3.0,M?,2.87,REV_ML,REV_ML,,,3.12,3.12,ML2MW,Maldon; Vic,,,,,,,,,,,,,,,,,,NSHA18,,,,
4333,40.0,ga1872pwcnpe,1872-08-12 12:00:00,683959.5,local,1.0,152.0,-26.75,10.0,BRS,,,,,,,3.0,BRS,SEA,2.87,3.0,MP,2.87,REV_ML,REV_ML,,,3.12,3.12,ML2MW,Nanango; Qld,,,,,,,,,,,,,,,,,,NSHA18,,,,
4334,41.0,,1872-10-18 08:53:00,684026.3701,local,1.0,150.0,-33.7,10.0,KMcC,,,,,,,5.3,KMcC,SEA,4.81,5.3,MP,4.81,REV_ML,REV_ML,,,4.67,4.67,ML2MW,Jenolan Caves; NSW,,,,,,,,,,,,,,,,,,NSHA18,,,,
4335,42.0,,1873-04-22 06:00:00,684212.25,local,1.0,145.25,-38.5,10.0,Gliddon,,,,,,,3.5,Gliddon,SEA,3.29,3.5,M?,3.29,REV_ML,REV_ML,,,3.43,3.43,ML2MW,Phillip Island?; Vic,,,,,,,,,,,,,,,,,,NSHA18,,,,
4336,43.0,ga1873ypcrci,1873-12-15 04:00:00,684449.1667,local,1.0,127.5,-26.25,0.0,E.T.,,,,,,,6.0,E.T.,WA,5.4,6.0,MP,5.4,REV_ML,REV_ML,,,5.2,5.2,ML2MW,E of Warburton; WA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4337,44.0,ga1875shdddm,1875-09-16 20:00:00,685089.8333,local,1.0,152.5,-27.5,0.0,BMR,,,,,,,3.0,BMR,SEA,2.87,3.0,MP,2.87,REV_ML,REV_ML,,,3.12,3.12,ML2MW,Ipswich; Qld,,,,,,,,,,,,,,,,,,NSHA18,,,,
4338,45.0,ga1875wffomh,1875-11-11 10:50:00,685145.4514,local,1.0,148.5,-22.0,0.0,BRS,,,,,,,4.3,BRS,SEA,3.97,4.3,MP,3.97,REV_ML,REV_ML,,,3.96,3.96,ML2MW,Mackay; Qld,,,,,,,,,,,,,,,,,,NSHA18,,,,
4339,46.0,ga1875xdcinv,1875-11-24 11:00:00,685158.4583,local,1.0,152.0,-28.1,10.0,BRS,,,,,,,3.9,BRS,SEA,3.63,3.9,MP,3.63,REV_ML,REV_ML,,,3.69,3.69,ML2MW,Warwick; Qld,,,,,,,,,,,,,,,,,,NSHA18,,,,
4340,47.0,ga1876fojmbh,1876-03-19 15:30:00,685274.6458,local,2.0,139.083,-34.517,7.0,ADE,,,,,,,3.7,ADE,SA,3.46,3.7,MP,3.46,REV_ML,REV_ML,,,3.56,3.56,ML2MW,Angaston; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4341,48.0,ga1876ftksmf,1876-03-22 09:30:00,685277.3958,local,0.0,139.083,-34.517,7.0,ADE,,,,,,,3.1,ADE,SA,2.96,3.1,MP,2.96,REV_ML,REV_ML,,,3.18,3.18,ML2MW,Angaston; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4342,49.0,ga1876ftsejh,1876-03-22 13:15:00,685277.5521,local,0.0,139.083,-34.517,7.0,ADE,,,,,,,3.5,ADE,SA,3.29,3.5,MP,3.29,REV_ML,REV_ML,,,3.43,3.43,ML2MW,Angaston; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4343,50.0,ga1877ealxvr,1877-02-26 21:45:00,685618.9063,local,1.0,152.8,-27.5,10.0,BRS,,,,,,,4.5,BRS,SEA,4.13,4.5,MP,4.13,REV_ML,REV_ML,,,4.09,4.09,ML2MW,Ipswich; Qld,,,,,,,,,,,,,,,,,,NSHA18,,,,
4344,51.0,ga1877qldhhn,1877-08-21 16:30:00,685794.6875,local,1.0,138.767,-35.017,7.0,ADE,,,,,,,2.7,ADE,SA,2.62,2.7,MP,2.62,REV_ML,REV_ML,,,2.94,2.94,ML2MW,Bridgewater; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4345,52.0,ga1879xnhuyc,1879-11-30 00:30:00,686625.0208,local,1.0,138.55,-33.817,7.0,ADE,,,,,,,4.2,ADE,SA,3.88,4.2,MP,3.88,REV_ML,REV_ML,,,3.89,3.89,ML2MW,Clare; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4346,53.0,ga1880bsyhsm,1880-01-25 11:30:00,686681.4792,local,1.0,138.367,-33.617,9.0,ADE,,,,,,,3.3,ADE,SA,3.13,3.3,MP,3.13,REV_ML,REV_ML,,,3.3,3.3,ML2MW,Koolunga; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4347,54.0,ga1880cjbxcz,1880-02-03 06:30:00,686690.2708,local,1.0,146.4,-43.0,10.0,Leiba,,,,,,,5.5,Leiba,SEA,4.97,5.5,MP,4.97,REV_ML,REV_ML,,,4.82,4.82,ML2MW,Southwest; Tas,,,,,,,,,,,,,,,,,,NSHA18,,,,
4348,55.0,ga1880ijipax,1880-04-28 09:30:00,686775.3958,local,1.0,139.25,-35.333,7.0,ADE,,,,,,,4.1,ADE,SA,3.8,4.1,MP,3.8,REV_ML,REV_ML,,,3.82,3.82,ML2MW,Lake Alexandrina; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4349,56.0,,1880-07-31 07:00:00,686869.2917,local,1.0,148.4,-31.0,10.0,BRS,,,,,,,3.2,BRS,SEA,3.04,3.2,MP,3.04,REV_ML,REV_ML,,,3.24,3.24,ML2MW,Coonamble; NSW,,,,,,,,,,,,,,,,,,NSHA18,,,,
4350,57.0,ga1880psyztk,1880-08-10 19:00:00,686879.7917,local,1.0,151.9,-28.9,10.0,BRS,,,,,,,3.6,BRS,SEA,3.38,3.6,MP,3.38,REV_ML,REV_ML,,,3.49,3.49,ML2MW,Warwick; Qld,,,,,,,,,,,,,,,,,,NSHA18,,,,
4351,58.0,,1880-10-26 01:00:00,686956.0417,local,1.0,151.6,-31.0,10.0,BRS,,,,,,,3.2,BRS,SEA,3.04,3.2,MP,3.04,REV_ML,REV_ML,,,3.24,3.24,ML2MW,Walcha; NSW,,,,,,,,,,,,,,,,,,NSHA18,,,,
4352,59.0,,1881-06-07 14:00:00,687180.5833,local,1.0,145.25,-38.5,10.0,Gliddon,,,,,,,3.5,Gliddon,SEA,3.29,3.5,M?,3.29,REV_ML,REV_ML,,,3.43,3.43,ML2MW,Phillip Island?; Vic,,,,,,,,,,,,,,,,,,NSHA18,,,,
4353,60.0,ga1882fktzzv,1882-03-18 16:30:00,687464.6875,local,1.0,138.9,-35.267,7.0,ADE,,,,,,,3.0,ADE,SA,2.87,3.0,MP,2.87,REV_ML,REV_ML,,,3.12,3.12,ML2MW,Strathalbyn; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4354,61.0,ga1882sjvspr,1882-09-18 07:30:00,687648.3125,local,1.0,138.63,-34.517,7.0,ADE,,,,,,,3.1,ADE,SA,2.96,3.1,MP,2.96,REV_ML,REV_ML,,,3.18,3.18,ML2MW,Magill; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4355,62.0,,1882-10-24 00:00:00,687684.0,local,1.0,139.85,-36.83,10.0,ADE,,,,,,,3.1,ADE,SEA,2.96,3.1,MP,2.96,REV_ML,REV_ML,,,3.18,3.18,ML2MW,Kingston; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4356,63.0,ga1883nghxme,1883-07-07 13:38:00,687940.5681,local,0.0,138.7,-35.1,14.0,ADE,,,,,,,4.2,ADE,SA,3.88,4.2,MP,3.88,REV_ML,REV_ML,,,3.89,3.89,ML2MW,Mt Barker; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4357,64.0,ga1883ngibuf,1883-07-07 13:43:00,687940.5715,local,0.0,138.7,-35.1,14.0,ADE,,,,,,,3.1,ADE,SA,2.96,3.1,MP,2.96,REV_ML,REV_ML,,,3.18,3.18,ML2MW,Mt Barker; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4358,65.0,ga1883ngiosh,1883-07-07 13:58:00,687940.5819,local,2.0,138.7,-35.1,10.0,ADE,,,,,,,4.7,ADE,SA,4.3,4.7,MP,4.3,REV_ML,REV_ML,,,4.23,4.23,ML2MW,Mt Barker; SA,,,,,,,,,,,,,,,,,,NSHA18,,,,
4359,66.0,ga1883qyaezv,1883-08-28 16:55:00,687992.7049,local,2.0,151.7,-25.5,10.0,BRS,,,,,,,5.9,BRS,SEA,5.31,5.9,MP,5.31,REV_ML,REV_ML,,,5.12,5.12,ML2MW,Gayndah; Qld,,,,,,,,,,,,,,,,,,NSHA18,,,,
4360,67.0,ga1883qydagg,1883-08-28 18:20:00,687992.7639,local,0.0,151.7,-25.5,10.0,BRS,,,,,,,5.2,BRS,SEA,4.72,5.2,MP,4.72,REV_ML,REV_ML,,,4.59,4.59,ML2MW,Gayndah; Qld,,,,,,,,,,,,,,,,,,NSHA18,,,,
4361,68.0,,1883-12-13 00:00:00,688099.0,local,0.0,149.107,-39.96,10.0,Underwood,,,,,,,4.0,Underwood,SEA,3.71,4.0,MP,3.71,REV_ML,REV_ML,,,3.75,3.75,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4362,69.0,,1884-02-14 00:17:00,688162.0118,local,0.0,149.0,-40.0,10.0,Underwood,,,,,,,3.0,Underwood,SEA,2.87,3.0,MP,2.87,REV_ML,REV_ML,,,3.12,3.12,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4363,70.0,ga1884dirxlb,1884-02-17 05:25:00,688165.2257,local,0.0,149.8,-40.3,,Leiba,,,,,,,5.7,Leiba,SEA,5.14,5.7,MP,5.14,REV_ML,REV_ML,,,4.97,4.97,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4364,71.0,ga1884eofgya,1884-03-05 09:27:00,688182.3938,local,0.0,149.5,-40.2,,Leiba,,,,,,,5.6,Leiba,SEA,5.06,5.6,MP,5.06,REV_ML,REV_ML,,,4.89,4.89,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4365,72.0,,1884-03-18 12:20:00,688195.5139,local,0.0,149.2,-40.1,10.0,Underwood,,,,,,,3.0,Underwood,SEA,2.87,3.0,MP,2.87,REV_ML,REV_ML,,,3.12,3.12,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4366,73.0,,1884-03-26 13:56:00,688203.5806,local,1.0,150.0,-37.0,10.0,Underwood,,,,,,,4.0,Underwood,SEA,3.71,4.0,MP,3.71,REV_ML,REV_ML,,,3.75,3.75,ML2MW,Green Cape; NSW,,,,,,,,,,,,,,,,,,NSHA18,,,,
4367,74.0,,1884-03-27 11:20:00,688204.4722,local,0.0,149.1,-40.1,10.0,Underwood,,,,,,,3.0,Underwood,SEA,2.87,3.0,MP,2.87,REV_ML,REV_ML,,,3.12,3.12,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4368,75.0,ga1884geslbk,1884-03-28 13:12:00,688205.55,local,0.0,148.9,-41.2,,Leiba,,,,,,,5.9,Leiba,SEA,5.31,5.9,MP,5.31,REV_ML,REV_ML,,,5.12,5.12,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4369,76.0,ga1884jfpgsi,1884-05-10 12:30:00,688248.5208,local,0.0,148.9,-41.2,,Leiba,,,,,,,5.7,Leiba,SEA,5.14,5.7,MP,5.14,REV_ML,REV_ML,,,4.97,4.97,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4370,77.0,ga1884jgheay,1884-05-10 21:30:00,688248.8958,local,0.0,148.9,-41.2,,Leiba,,,,,,,5.9,Leiba,SEA,5.31,5.9,MP,5.31,REV_ML,REV_ML,,,5.12,5.12,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4371,78.0,ga1884kkqjjn,1884-05-27 10:22:00,688265.4319,local,0.0,148.9,-41.2,,Leiba,,,,,,,5.8,Leiba,SEA,5.23,5.8,MP,5.23,REV_ML,REV_ML,,,5.04,5.04,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4372,79.0,,1884-06-09 10:20:00,688278.4306,local,0.0,149.1,-39.9,10.0,Underwood,,,,,,,4.0,Underwood,SEA,3.71,4.0,MP,3.71,REV_ML,REV_ML,,,3.75,3.75,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4373,80.0,ga1884lxelob,1884-06-17 10:17:00,688286.4285,local,0.0,148.8,-39.8,,Leiba,,,,,,,5.8,Leiba,SEA,5.23,5.8,MP,5.23,REV_ML,REV_ML,,,5.04,5.04,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4374,81.0,,1884-06-17 10:36:00,688286.4417,local,1.0,150.0,-37.0,10.0,Underwood,,,,,,,3.0,Underwood,SEA,2.87,3.0,MP,2.87,REV_ML,REV_ML,,,3.12,3.12,ML2MW,Green Cape; NSW,,,,,,,,,,,,,,,,,,NSHA18,,,,
4375,82.0,ga1884mhdxcr,1884-06-22 20:45:00,688291.8646,local,0.0,149.5,-40.3,,Leiba,,,,,,,5.8,Leiba,SEA,5.23,5.8,MP,5.23,REV_ML,REV_ML,,,5.04,5.04,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4376,83.0,ga1884nqocvj,1884-07-12 03:30:00,688311.1458,local,0.0,148.9,-41.2,,Leiba,,,,,,,5.2,Leiba,SEA,4.72,5.2,MP,4.72,REV_ML,REV_ML,,,4.59,4.59,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
4377,84.0,ga1884nskrgj,1884-07-13 03:55:00,688312.1632,local,0.0,148.5,-40.5,10.0,Leiba,,,,,,,6.4,Leiba,SEA,5.73,6.4,MP,5.73,REV_ML,REV_ML,,,5.52,5.52,ML2MW,Cape Barren Island; Tas,,,,,,,,,,,,,,,,,,NSHA18,,,,
4378,85.0,,1884-08-03 02:40:00,688333.1111,local,0.0,148.9,-40.1,10.0,Underwood,,,,,,,4.0,Underwood,SEA,3.71,4.0,MP,3.71,REV_ML,REV_ML,,,3.75,3.75,ML2MW,Tasman Sea,,,,,,,,,,,,,,,,,,NSHA18,,,,
